"특성별","필요정도별","항목","단위","2015 년","2018 년",
"80~100%미만","응답자수","기혼여성","명","2119","2073",
"80~100%미만","반드시 해야 한다","기혼여성","%","11.6","9.1",
"80~100%미만","하는 편이 좋다","기혼여성","%","38.9","32.1",
"80~100%미만","해도 좋고 하지 않아도 좋다","기혼여성","%","44.2","52.5",
"80~100%미만","하지 않는게 낫다","기혼여성","%","5","5.8",
"80~100%미만","모르겠다","기혼여성","%",".3",".4",
"100~120%미만","응답자수","기혼여성","명","1923","1878",
"100~120%미만","반드시 해야 한다","기혼여성","%","12","9.3",
"100~120%미만","하는 편이 좋다","기혼여성","%","39.2","28.6",
"100~120%미만","해도 좋고 하지 않아도 좋다","기혼여성","%","43.5","55.2",
"100~120%미만","하지 않는게 낫다","기혼여성","%","4.9","6.4",
"100~120%미만","모르겠다","기혼여성","%",".4",".5",
"120~140%미만","응답자수","기혼여성","명","1033","1468",
"120~140%미만","반드시 해야 한다","기혼여성","%","11.5","8.5",
"120~140%미만","하는 편이 좋다","기혼여성","%","40.6","31.7",
"120~140%미만","해도 좋고 하지 않아도 좋다","기혼여성","%","41.8","54",
"120~140%미만","하지 않는게 낫다","기혼여성","%","5.6","5.6",
"120~140%미만","모르겠다","기혼여성","%",".5",".2",
"140~160%미만","응답자수","기혼여성","명","944","992",
"140~160%미만","반드시 해야 한다","기혼여성","%","13.1","10.4",
"140~160%미만","하는 편이 좋다","기혼여성","%","38.2","31",
"140~160%미만","해도 좋고 하지 않아도 좋다","기혼여성","%","43.1","53.2",
"140~160%미만","하지 않는게 낫다","기혼여성","%","5.3","5.2",
"140~160%미만","모르겠다","기혼여성","%",".2",".2",
"160%이상","응답자수","기혼여성","명","1752","1836",
"160%이상","반드시 해야 한다","기혼여성","%","13.2","10.3",
"160%이상","하는 편이 좋다","기혼여성","%","42.3","33.3",
"160%이상","해도 좋고 하지 않아도 좋다","기혼여성","%","40.4","51.1",
"160%이상","하지 않는게 낫다","기혼여성","%","3.8","5.3",
"160%이상","모르겠다","기혼여성","%",".3",".1",
