행정구역별,종류별,항목,단위,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년
부산광역시,조이혼율(천명당),"출생,사망,혼인,이혼",,2.4,2.2,2.1,2.1,2.1,2.1,1.9,2,1.9,2,2,1.9
부산광역시,합계출산율,"출생,사망,혼인,이혼",,0.94,1.045,1.078,1.135,1.049,1.09,1.139,1.095,0.976,0.899,0.827,0.747
부산광역시,일반혼인율(남편),"출생,사망,혼인,이혼",,12.4,13.4,13.5,13.5,13.8,12.6,12.3,11.4,10.5,10,9.4,8.3
부산광역시,일반혼인율(아내),"출생,사망,혼인,이혼",,13,13.9,14.1,14,14.3,13,12.8,11.6,10.6,10,8.9,7.9
부산광역시,일반이혼율(남편),"출생,사망,혼인,이혼",,5.7,5.1,5,5,5,4.9,4.4,4.6,4.5,4.5,4.6,4.4
부산광역시,일반이혼율(아내),"출생,사망,혼인,이혼",,5.5,5,4.9,4.8,4.8,4.7,4.4,4.5,4.3,4.4,4.4,4.2
대구광역시,출생아수(명),"출생,사망,혼인,이혼",,19399,20557,20758,21472,19340,19361,19438,18298,15946,14400,13233,11193
대구광역시,조출생률(천명당),"출생,사망,혼인,이혼",,7.8,8.3,8.3,8.6,7.8,7.8,7.9,7.4,6.5,5.9,5.4,4.6
대구광역시,사망자수(명),"출생,사망,혼인,이혼",,11741,12054,12355,12352,12531,12642,13081,13502,13629,14070,13752,14460
대구광역시,조사망률(천명당),"출생,사망,혼인,이혼",,4.7,4.8,5,5,5,5.1,5.3,5.5,5.5,5.7,5.7,6
대구광역시,자연증가건수(명),"출생,사망,혼인,이혼",,7658,8503,8403,9120,6809,6719,6357,4796,2317,330,-519,-3267
대구광역시,자연증가율(천명당),"출생,사망,혼인,이혼",,3.1,3.4,3.4,3.7,2.7,2.7,2.6,1.9,0.9,0.1,-0.2,-1.4
대구광역시,혼인건수(건),"출생,사망,혼인,이혼",,12844,13479,13813,13642,13601,12552,12545,12216,11392,10967,9880,8340
대구광역시,조혼인율(천명당),"출생,사망,혼인,이혼",,5.2,5.4,5.6,5.5,5.5,5.1,5.1,5,4.6,4.5,4.1,3.5
대구광역시,이혼건수(건),"출생,사망,혼인,이혼",,5361,5107,4658,4947,4796,4794,4497,4383,4380,4530,4655,4345
대구광역시,조이혼율(천명당),"출생,사망,혼인,이혼",,2.2,2.1,1.9,2,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.8
대구광역시,합계출산율,"출생,사망,혼인,이혼",,1.029,1.109,1.146,1.217,1.127,1.169,1.216,1.186,1.067,0.987,0.932,0.807
대구광역시,일반혼인율(남편),"출생,사망,혼인,이혼",,12.5,13.1,13.3,13.1,13,11.9,11.9,11.6,10.8,10.4,9.4,8
대구광역시,일반혼인율(아내),"출생,사망,혼인,이혼",,12.7,13.2,13.5,13.3,13.2,12,12.1,11.5,10.6,10.2,9.1,7.7
대구광역시,일반이혼율(남편),"출생,사망,혼인,이혼",,5.2,5,4.5,4.7,4.6,4.6,4.3,4.2,4.1,4.3,4.4,4.2
대구광역시,일반이혼율(아내),"출생,사망,혼인,이혼",,5.1,4.9,4.4,4.7,4.6,4.5,4.4,4.2,4.2,4.4,4.3,4
인천광역시,출생아수(명),"출생,사망,혼인,이혼",,24379,25752,26118,27781,25560,25786,25491,23609,20445,20087,18522,16040
인천광역시,조출생률(천명당),"출생,사망,혼인,이혼",,9,9.5,9.5,9.9,9,9,8.8,8.1,7,6.9,6.3,5.5
인천광역시,사망자수(명),"출생,사망,혼인,이혼",,11662,12087,12504,12881,13039,13409,13452,14119,14290,15316,15131,15689
인천광역시,조사망률(천명당),"출생,사망,혼인,이혼",,4.3,4.4,4.5,4.6,4.6,4.7,4.7,4.9,4.9,5.2,5.2,5.4
인천광역시,자연증가건수(명),"출생,사망,혼인,이혼",,12717,13665,13614,14900,12521,12377,12039,9490,6155,4771,3391,351
인천광역시,자연증가율(천명당),"출생,사망,혼인,이혼",,4.7,5,5,5.3,4.4,4.3,4.2,3.3,2.1,1.6,1.2,0.1
인천광역시,혼인건수(건),"출생,사망,혼인,이혼",,16643,17407,18013,18079,18010,17251,17118,16092,15235,14850,13401,11574
인천광역시,조혼인율(천명당),"출생,사망,혼인,이혼",,6.2,6.4,6.6,6.5,6.4,6,5.9,5.5,5.2,5.1,4.6,4
인천광역시,이혼건수(건),"출생,사망,혼인,이혼",,7880,7354,6840,7306,7253,7417,7116,7097,6988,7011,7176,6931
인천광역시,조이혼율(천명당),"출생,사망,혼인,이혼",,2.9,2.7,2.5,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.5,2.4
인천광역시,합계출산율,"출생,사망,혼인,이혼",,1.143,1.214,1.232,1.301,1.195,1.212,1.216,1.144,1.007,1.006,0.94,0.829
인천광역시,일반혼인율(남편),"출생,사망,혼인,이혼",,14.9,15.3,15.6,15.3,15,14.1,13.9,12.9,12.1,11.7,10.5,9.1
인천광역시,일반혼인율(아내),"출생,사망,혼인,이혼",,14.3,14.5,15.1,14.8,14.5,13.8,13.5,12.6,11.8,11.5,10.5,9
인천광역시,일반이혼율(남편),"출생,사망,혼인,이혼",,7.1,6.5,5.9,6.2,6,6.1,5.8,5.7,5.6,5.5,5.6,5.4
인천광역시,일반이혼율(아내),"출생,사망,혼인,이혼",,7,6.4,5.9,6.2,6.1,6.1,5.8,5.7,5.6,5.6,5.6,5.4
광주광역시,출생아수(명),"출생,사망,혼인,이혼",,13101,13979,13916,14392,12729,12729,12441,11580,10120,9105,8364,7318
광주광역시,조출생률(천명당),"출생,사망,혼인,이혼",,9.2,9.7,9.6,9.9,8.7,8.7,8.5,7.9,6.9,6.3,5.8,5.1
광주광역시,사망자수(명),"출생,사망,혼인,이혼",,6179,6532,6593,6874,6891,6935,7443,7247,7560,7781,7635,7785
광주광역시,조사망률(천명당),"출생,사망,혼인,이혼",,4.3,4.5,4.5,4.7,4.7,4.7,5.1,5,5.2,5.4,5.3,5.4
광주광역시,자연증가건수(명),"출생,사망,혼인,이혼",,6922,7447,7323,7518,5838,5794,4998,4333,2560,1324,729,-467
광주광역시,자연증가율(천명당),"출생,사망,혼인,이혼",,4.8,5.2,5.1,5.2,4,4,3.4,3,1.8,0.9,0.5,-0.3
광주광역시,혼인건수(건),"출생,사망,혼인,이혼",,8088,8566,8946,8596,8820,8213,7945,7468,7141,6632,6297,5560
광주광역시,조혼인율(천명당),"출생,사망,혼인,이혼",,5.7,6,6.2,5.9,6,5.6,5.4,5.1,4.9,4.6,4.3,3.8
광주광역시,이혼건수(건),"출생,사망,혼인,이혼",,3076,3002,2857,2923,2924,3051,2842,2817,2694,2887,2915,2604
광주광역시,조이혼율(천명당),"출생,사망,혼인,이혼",,2.2,2.1,2,2,2,2.1,1.9,1.9,1.8,2,2,1.8
광주광역시,합계출산율,"출생,사망,혼인,이혼",,1.137,1.223,1.234,1.295,1.17,1.199,1.207,1.168,1.053,0.972,0.913,0.811
광주광역시,일반혼인율(남편),"출생,사망,혼인,이혼",,14.4,15,15.4,14.6,14.8,13.7,13.1,12.3,11.7,10.9,10.3,9.1
광주광역시,일반혼인율(아내),"출생,사망,혼인,이혼",,14.1,14.5,14.8,14.1,14.5,13.3,13,12,11.4,10.7,9.9,8.8
광주광역시,일반이혼율(남편),"출생,사망,혼인,이혼",,5.5,5.2,4.9,5,4.9,5.1,4.7,4.6,4.4,4.7,4.8,4.3
광주광역시,일반이혼율(아내),"출생,사망,혼인,이혼",,5.5,5.3,5,5,5,5.1,4.8,4.8,4.6,4.9,4.6,4.1
대전광역시,출생아수(명),"출생,사망,혼인,이혼",,13915,14314,14808,15279,14099,13962,13774,12436,10851,9337,8410,7481
대전광역시,조출생률(천명당),"출생,사망,혼인,이혼",,9.4,9.6,9.9,10.1,9.3,9.2,9.1,8.3,7.2,6.3,5.7,5.1
대전광역시,사망자수(명),"출생,사망,혼인,이혼",,5949,6313,6336,6580,6634,6564,6961,6958,7029,7403,7502,7572
대전광역시,조사망률(천명당),"출생,사망,혼인,이혼",,4,4.2,4.2,4.4,4.4,4.3,4.6,4.6,4.7,5,5.1,5.2
대전광역시,자연증가건수(명),"출생,사망,혼인,이혼",,7966,8001,8472,8699,7465,7398,6813,5478,3822,1934,908,-91
대전광역시,자연증가율(천명당),"출생,사망,혼인,이혼",,5.4,5.4,5.7,5.8,4.9,4.9,4.5,3.6,2.6,1.3,0.6,-0.1
대전광역시,혼인건수(건),"출생,사망,혼인,이혼",,8885,9351,9726,9745,9621,9118,8805,8325,7697,7377,6602,5976
대전광역시,조혼인율(천명당),"출생,사망,혼인,이혼",,6,6.3,6.5,6.5,6.3,6,5.8,5.5,5.1,5,4.5,4.1
대전광역시,이혼건수(건),"출생,사망,혼인,이혼",,3433,3189,3067,2938,3003,3221,2999,2890,2855,3008,3097,3009
대전광역시,조이혼율(천명당),"출생,사망,혼인,이혼",,2.3,2.1,2,1.9,2,2.1,2,1.9,1.9,2,2.1,2.1
대전광역시,합계출산율,"출생,사망,혼인,이혼",,1.156,1.205,1.261,1.315,1.234,1.25,1.277,1.192,1.075,0.952,0.883,0.805
대전광역시,일반혼인율(남편),"출생,사망,혼인,이혼",,14.8,15.4,15.8,15.6,15.2,14.3,13.8,13.1,12.1,11.6,10.4,9.5
대전광역시,일반혼인율(아내),"출생,사망,혼인,이혼",,14.3,15,15.8,15.6,15,14.2,13.9,13,12,11.5,10.3,9.3
대전광역시,일반이혼율(남편),"출생,사망,혼인,이혼",,5.7,5.3,5,4.7,4.8,5.1,4.7,4.5,4.5,4.7,4.9,4.8
대전광역시,일반이혼율(아내),"출생,사망,혼인,이혼",,5.7,5.3,5,4.7,4.8,5.2,4.9,4.6,4.5,4.8,4.8,4.7
울산광역시,출생아수(명),"출생,사망,혼인,이혼",,11033,11432,11542,12160,11330,11556,11732,10910,9381,8149,7539,6617
울산광역시,조출생률(천명당),"출생,사망,혼인,이혼",,9.9,10.2,10.3,10.7,9.9,10,10.1,9.4,8.1,7.1,6.6,5.8
울산광역시,사망자수(명),"출생,사망,혼인,이혼",,4318,4328,4462,4567,4871,4695,4915,4947,4886,5349,5268,5302
울산광역시,조사망률(천명당),"출생,사망,혼인,이혼",,3.9,3.9,4,4,4.3,4.1,4.2,4.2,4.2,4.6,4.6,4.7
울산광역시,자연증가건수(명),"출생,사망,혼인,이혼",,6715,7104,7080,7593,6459,6861,6817,5963,4495,2800,2271,1315
울산광역시,자연증가율(천명당),"출생,사망,혼인,이혼",,6,6.4,6.3,6.7,5.6,5.9,5.9,5.1,3.9,2.4,2,1.2
울산광역시,혼인건수(건),"출생,사망,혼인,이혼",,7267,7660,7768,7887,7998,7674,7483,7006,6331,5894,5442,4737
울산광역시,조혼인율(천명당),"출생,사망,혼인,이혼",,6.5,6.9,6.9,7,7,6.6,6.4,6,5.4,5.1,4.7,4.2
울산광역시,이혼건수(건),"출생,사망,혼인,이혼",,2591,2597,2380,2590,2578,2731,2406,2520,2519,2658,2534,2460
울산광역시,조이혼율(천명당),"출생,사망,혼인,이혼",,2.3,2.3,2.1,2.3,2.3,2.4,2.1,2.2,2.2,2.3,2.2,2.2
울산광역시,합계출산율,"출생,사망,혼인,이혼",,1.308,1.369,1.393,1.481,1.391,1.437,1.486,1.418,1.261,1.131,1.084,0.984
울산광역시,일반혼인율(남편),"출생,사망,혼인,이혼",,15.7,16.4,16.4,16.3,16.2,15.3,14.8,13.7,12.4,11.6,10.8,9.4
울산광역시,일반혼인율(아내),"출생,사망,혼인,이혼",,14.5,15,15.1,15,15,14.4,13.9,13.1,11.7,11.1,11.3,9.9
울산광역시,일반이혼율(남편),"출생,사망,혼인,이혼",,5.6,5.5,5,5.4,5.2,5.5,4.7,4.9,4.9,5.2,5,4.9
울산광역시,일반이혼율(아내),"출생,사망,혼인,이혼",,5.6,5.5,5.1,5.4,5.3,5.6,4.8,5,5,5.2,5.3,5.2
세종특별자치시,출생아수(명),"출생,사망,혼인,이혼",,-,-,-,1054,1111,1344,2708,3297,3504,3703,3819,3468
세종특별자치시,조출생률(천명당),"출생,사망,혼인,이혼",,-,-,-,10.2,9.5,9.7,14.8,14.6,13.4,12.5,11.7,10
세종특별자치시,사망자수(명),"출생,사망,혼인,이혼",,,,,820,812,853,979,1065,1159,1259,1221,1317
세종특별자치시,조사망률(천명당),"출생,사망,혼인,이혼",,,,,7.9,7,6.2,5.4,4.7,4.4,4.3,3.7,3.8
세종특별자치시,자연증가건수(명),"출생,사망,혼인,이혼",,,,,234,299,491,1729,2232,2345,2444,2598,2151
세종특별자치시,자연증가율(천명당),"출생,사망,혼인,이혼",,,,,2.3,2.6,3.6,9.5,9.9,9,8.3,8,6.2
세종특별자치시,혼인건수(건),"출생,사망,혼인,이혼",,,,,634,743,920,1498,1612,1728,2038,2039,1854
세종특별자치시,조혼인율(천명당),"출생,사망,혼인,이혼",,-,-,-,6.1,6.4,6.7,8.2,7.1,6.6,6.9,6.2,5.3
세종특별자치시,이혼건수(건),"출생,사망,혼인,이혼",,,,,223,240,280,324,343,465,485,606,601
세종특별자치시,조이혼율(천명당),"출생,사망,혼인,이혼",,-,-,-,2.2,2.1,2,1.8,1.5,1.8,1.6,1.9,1.7
세종특별자치시,합계출산율,"출생,사망,혼인,이혼",,-,-,-,1.597,1.435,1.354,1.893,1.821,1.668,1.566,1.472,1.277
세종특별자치시,일반혼인율(남편),"출생,사망,혼인,이혼",,-,-,-,14.2,15,15.9,20.3,18,16.8,17.5,15.9,13.5
세종특별자치시,일반혼인율(아내),"출생,사망,혼인,이혼",,-,-,-,11.3,12.3,12.3,16,14.5,13.9,15.3,15.6,13.3
세종특별자치시,일반이혼율(남편),"출생,사망,혼인,이혼",,-,-,-,5,4.8,4.9,4.4,3.8,4.5,4.2,4.7,4.4
세종특별자치시,일반이혼율(아내),"출생,사망,혼인,이혼",,-,-,-,4.2,4.1,4.1,4,4.2,4.3,4.4,4.6,4.3
경기도,출생아수(명),"출생,사망,혼인,이혼",,113692,121753,122027,124746,112129,112169,113495,105643,94088,88175,83198,77737
경기도,조출생률(천명당),"출생,사망,혼인,이혼",,10,10.5,10.4,10.5,9.3,9.2,9.2,8.4,7.4,6.9,6.4,5.9
경기도,사망자수(명),"출생,사망,혼인,이혼",,45132,47687,48394,50830,50959,51425,53005,55215,56852,60050,60568,62794
경기도,조사망률(천명당),"출생,사망,혼인,이혼",,4,4.1,4.1,4.3,4.2,4.2,4.3,4.4,4.5,4.7,4.6,4.7
경기도,자연증가건수(명),"출생,사망,혼인,이혼",,68560,74066,73633,73916,61170,60744,60490,50428,37236,28125,22630,14943
경기도,자연증가율(천명당),"출생,사망,혼인,이혼",,6,6.4,6.3,6.2,5.1,5,4.9,4,2.9,2.2,1.7,1.1
경기도,혼인건수(건),"출생,사망,혼인,이혼",,73403,78471,79137,79449,77649,74306,73950,70052,66429,66877,62356,57814
경기도,조혼인율(천명당),"출생,사망,혼인,이혼",,6.5,6.8,6.7,6.7,6.4,6.1,6,5.6,5.2,5.2,4.8,4.4
경기도,이혼건수(건),"출생,사망,혼인,이혼",,29807,27810,28444,28452,28733,28892,27688,26723,26924,27884,28453,27983
경기도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.6,2.4,2.4,2.4,2.4,2.4,2.2,2.1,2.1,2.2,2.2,2.1
경기도,합계출산율,"출생,사망,혼인,이혼",,1.226,1.309,1.314,1.355,1.226,1.241,1.272,1.194,1.069,1.002,0.943,0.878
경기도,일반혼인율(남편),"출생,사망,혼인,이혼",,15.9,16.6,16.3,16.1,15.4,14.5,14.2,13.2,12.3,12.1,11.1,10.1
경기도,일반혼인율(아내),"출생,사망,혼인,이혼",,14.3,14.9,15,15.1,14.6,13.9,13.6,12.6,11.9,11.6,11.2,10.2
경기도,일반이혼율(남편),"출생,사망,혼인,이혼",,6.5,5.9,5.9,5.8,5.7,5.6,5.3,5,5,5.1,5.1,4.9
경기도,일반이혼율(아내),"출생,사망,혼인,이혼",,6.4,5.8,5.7,5.7,5.6,5.5,5.2,5,4.9,5,5.1,4.9
강원도,출생아수(명),"출생,사망,혼인,이혼",,12112,12477,12408,12426,10980,10662,10929,10058,8958,8351,8283,7835
강원도,조출생률(천명당),"출생,사망,혼인,이혼",,8,8.2,8.2,8.2,7.2,7,7.1,6.5,5.8,5.4,5.4,5.1
강원도,사망자수(명),"출생,사망,혼인,이혼",,10415,10729,10521,11030,10756,11004,11301,11437,11545,11976,11906,12182
강원도,조사망률(천명당),"출생,사망,혼인,이혼",,6.9,7.1,6.9,7.2,7,7.2,7.4,7.4,7.5,7.8,7.8,8
강원도,자연증가건수(명),"출생,사망,혼인,이혼",,1697,1748,1887,1396,224,-342,-372,-1379,-2587,-3625,-3623,-4347
강원도,자연증가율(천명당),"출생,사망,혼인,이혼",,1.1,1.2,1.2,0.9,0.1,-0.2,-0.2,-0.9,-1.7,-2.4,-2.4,-2.8
강원도,혼인건수(건),"출생,사망,혼인,이혼",,8081,8365,8338,8225,7946,7785,7876,7468,7295,6994,6762,5868
강원도,조혼인율(천명당),"출생,사망,혼인,이혼",,5.3,5.5,5.5,5.4,5.2,5.1,5.1,4.9,4.7,4.6,4.4,3.8
강원도,이혼건수(건),"출생,사망,혼인,이혼",,3742,3579,3562,3550,3725,3630,3484,3482,3263,3418,3624,3358
강원도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.5,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.1,2.2,2.4,2.2
강원도,합계출산율,"출생,사망,혼인,이혼",,1.248,1.313,1.338,1.374,1.249,1.248,1.311,1.237,1.123,1.067,1.082,1.036
강원도,일반혼인율(남편),"출생,사망,혼인,이혼",,12.8,13.1,12.9,12.6,12.1,11.7,11.8,11.1,10.8,10.3,10,8.6
강원도,일반혼인율(아내),"출생,사망,혼인,이혼",,11.7,11.9,11.8,11.4,11,10.6,10.9,10,9.7,9.3,10,8.7
강원도,일반이혼율(남편),"출생,사망,혼인,이혼",,5.9,5.6,5.5,5.5,5.7,5.5,5.2,5.2,4.8,5,5.3,4.9
강원도,일반이혼율(아내),"출생,사망,혼인,이혼",,5.2,5,5,4.9,5.2,5.1,4.8,4.7,4.5,4.6,5.4,5
충청북도,출생아수(명),"출생,사망,혼인,이혼",,13903,14670,14804,15139,13658,13366,13563,12742,11394,10586,9333,8607
충청북도,조출생률(천명당),"출생,사망,혼인,이혼",,9.1,9.6,9.6,9.8,8.8,8.5,8.6,8.1,7.2,6.7,5.9,5.4
충청북도,사망자수(명),"출생,사망,혼인,이혼",,9985,9825,10176,10478,10371,10174,10638,10787,11104,11334,11363,11594
충청북도,조사망률(천명당),"출생,사망,혼인,이혼",,6.6,6.4,6.6,6.8,6.7,6.5,6.8,6.8,7,7.1,7.1,7.3
충청북도,자연증가건수(명),"출생,사망,혼인,이혼",,3918,4845,4628,4661,3287,3192,2925,1955,290,-748,-2030,-2987
충청북도,자연증가율(천명당),"출생,사망,혼인,이혼",,2.6,3.2,3,3,2.1,2,1.9,1.2,0.2,-0.5,-1.3,-1.9
충청북도,혼인건수(건),"출생,사망,혼인,이혼",,8666,9171,9542,9275,9307,8774,8872,8334,7990,7827,7239,6682
충청북도,조혼인율(천명당),"출생,사망,혼인,이혼",,5.7,6,6.2,6,6,5.6,5.6,5.3,5,4.9,4.6,4.2
충청북도,이혼건수(건),"출생,사망,혼인,이혼",,3738,3554,3675,3424,3732,3671,3486,3446,3461,3543,3699,3492
충청북도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.5,2.3,2.4,2.2,2.4,2.3,2.2,2.2,2.2,2.2,2.3,2.2
충청북도,합계출산율,"출생,사망,혼인,이혼",,1.317,1.402,1.428,1.485,1.365,1.363,1.414,1.358,1.235,1.172,1.05,0.983
충청북도,일반혼인율(남편),"출생,사망,혼인,이혼",,13.7,14.3,14.7,14.1,14,13.1,13.1,12.2,11.6,11.3,10.3,9.5
충청북도,일반혼인율(아내),"출생,사망,혼인,이혼",,13,13.4,13.8,13.4,13.2,12.6,12.3,11.5,11.1,10.5,10.5,9.7
충청북도,일반이혼율(남편),"출생,사망,혼인,이혼",,5.9,5.6,5.7,5.2,5.6,5.5,5.1,5,5,5.1,5.3,5
충청북도,일반이혼율(아내),"출생,사망,혼인,이혼",,5.5,5.2,5.3,4.8,5.2,5.3,5,4.9,4.8,4.7,5.4,5.1
충청남도,출생아수(명),"출생,사망,혼인,이혼",,19257,20242,20398,20448,18628,18200,18604,17302,15670,14380,13228,11950
충청남도,조출생률(천명당),"출생,사망,혼인,이혼",,9.5,9.9,9.8,10.2,9.2,8.9,9,8.3,7.5,6.8,6.3,5.7
충청남도,사망자수(명),"출생,사망,혼인,이혼",,13555,14014,14025,13994,13854,14149,14469,14600,15321,15802,15596,16022
충청남도,조사망률(천명당),"출생,사망,혼인,이혼",,6.7,6.8,6.8,7,6.8,6.9,7,7,7.3,7.5,7.4,7.6
충청남도,자연증가건수(명),"출생,사망,혼인,이혼",,5702,6228,6373,6454,4774,4051,4135,2702,349,-1422,-2368,-4072
충청남도,자연증가율(천명당),"출생,사망,혼인,이혼",,2.8,3,3.1,3.2,2.4,2,2,1.3,0.2,-0.7,-1.1,-1.9
충청남도,혼인건수(건),"출생,사망,혼인,이혼",,12708,13185,13216,12849,12482,12040,12331,11792,10961,10970,9826,8493
충청남도,조혼인율(천명당),"출생,사망,혼인,이혼",,6.3,6.4,6.4,6.4,6.2,5.9,6,5.7,5.2,5.2,4.7,4
충청남도,이혼건수(건),"출생,사망,혼인,이혼",,5178,4756,4819,4685,4820,4915,4724,4682,4835,4842,5202,5003
충청남도,조이혼율(천명당),"출생,사망,혼인,이혼",,2.6,2.3,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.5,2.4
충청남도,합계출산율,"출생,사망,혼인,이혼",,1.408,1.479,1.496,1.571,1.442,1.421,1.48,1.395,1.276,1.186,1.112,1.029
충청남도,일반혼인율(남편),"출생,사망,혼인,이혼",,15,15.3,15.1,15.1,14.5,13.8,13.9,13.1,12,11.9,10.6,9.1
